,IDfg,Name,WAR,Next_WAR,Prediction_Year,prediction
5035,1208,Chris Gomez,0.18012422360248448,-0.1,2006,-0.062116104221585755
3298,1207,Ryan Freel,0.35403726708074534,3.8,2006,2.000491440423568
3051,1205,Sal Fasano,0.2670807453416149,-0.3,2006,0.4859687669228938
2724,1201,Carl Crawford,0.5093167701863355,4.7,2006,3.914925209272397
2333,1197,Emil Brown,0.2857142857142857,3.3,2006,1.1114060259685479
4984,1186,So Taguchi,0.2981366459627329,0.1,2006,0.5910507246608827
4905,1178,Edgar Renteria,0.3229813664596274,3.6,2006,1.782162103370123
75,1177,Albert Pujols,0.68944099378882,8.1,2006,5.912956544209126
1382,1176,Placido Polanco,0.5465838509316772,0.9,2006,3.0023807811286973
278,1281,Mark Teixeira,0.5776397515527951,3.5,2006,4.4162454082044915
497,1002,Aramis Ramirez,0.391304347826087,3.7,2006,2.874976830455454
1998,1617,Lyle Overbay,0.35403726708074534,1.8,2006,2.3527977656385772
8672,1638,Miguel Olivo,0.1987577639751553,1.5,2006,1.2565656733671777
4592,3035,Michael Morse,0.2173913043478261,0.9,2006,1.0664466604736347
5104,2748,Pete Orr,0.2298136645962733,-0.1,2006,0.1299343702426633
7331,2628,Jason Repko,0.25465838509316774,0.4,2006,1.2893715746448693
2719,2521,Jorge Cantu,0.27950310559006214,-1.0,2006,2.1780000769339054
7614,2437,Maicer Izturis,0.2298136645962733,1.8,2006,1.3672199390764441
5053,2364,Luis Rodriguez,0.27950310559006214,-0.3,2006,1.4466160886919164
2024,2338,John Rodriguez,0.2360248447204969,0.6,2006,0.3217012711675916
7498,3114,Jose Lopez,0.2236024844720497,1.4,2006,1.6701587249013559
8692,2265,Matt Treanor,0.20496894409937888,0.5,2006,0.6218884718930988
1677,2197,Grady Sizemore,0.5590062111801242,7.9,2006,3.6676673785552314
2268,2167,Dan Johnson,0.2981366459627329,0.1,2006,2.051804435721035
6688,2164,Chris Burke,0.2919254658385093,0.9,2006,1.4598302447132927
8606,2158,Greg Dobbs,0.18012422360248448,0.8,2006,0.5334096371168416
651,2154,Ryan Howard,0.3478260869565218,5.9,2006,1.7478046604381958
4750,2151,Edwin Encarnacion,0.2236024844720497,1.9,2006,1.4096094642554677
4939,2113,Ryan Doumit,0.24844720496894412,0.0,2006,1.3409951226115084
4499,2234,Kelly Johnson,0.30434782608695654,3.4,2006,1.861840961855916
4254,3179,Dioner Navarro,0.25465838509316774,0.4,2006,1.3606323609837203
3502,3269,Robinson Cano,0.2236024844720497,2.4,2006,1.0830593968015123
7947,3417,Ruben Gotay,0.17391304347826086,0.7,2006,1.148512278034133
7259,8585,Yuniesky Betancourt,0.2422360248447205,1.6,2006,1.3213682610867454
2981,8581,Tadahito Iguchi,0.4161490683229814,1.8,2006,2.31011722971677
7096,8219,Jason Bartlett,0.3229813664596274,3.1,2006,1.8836503510306712
7637,7007,Yadier Molina,0.27950310559006214,-0.3,2006,1.9620558553790806
721,6307,Matt Murton,0.31055900621118016,2.8,2006,1.4479997468627217
4604,6104,Aaron Hill,0.2981366459627329,2.5,2006,1.6685205275745718
4746,4810,Brian McCann,0.2422360248447205,4.3,2006,1.3457129877716036
1063,4792,Jeff Francoeur,0.3975155279503106,0.7,2006,2.5131609996471784
2564,4747,Curtis Granderson,0.27950310559006214,4.0,2006,1.3034918190295082
6570,4730,Jeremy Reed,0.36645962732919257,-0.3,2006,2.403893706337744
8468,4606,Chris Snyder,0.1863354037267081,0.8,2006,0.608399942908936
3694,4599,Nick Swisher,0.3478260869565218,3.9,2006,2.3028874440023843
5633,4519,Russ Adams,0.25465838509316774,-1.0,2006,1.741890704274405
6586,4511,Mark Teahen,0.14285714285714285,3.0,2006,0.4740895746828737
7165,3913,Joey Gathright,0.2981366459627329,0.7,2006,1.551683163014106
5797,3797,J.J. Hardy,0.31055900621118016,3.9,2006,1.9665422272118935
468,3787,David Wright,0.5714285714285714,4.7,2006,4.216292882047232
1886,2106,Ryan Church,0.32919254658385094,1.9,2006,1.4981907082556725
4535,1624,Freddy Sanchez,0.391304347826087,4.6,2006,1.9811662114246575
6120,2090,Alex Rios,0.2670807453416149,3.5,2006,1.8929611271337967
7145,2041,John Buck,0.2670807453416149,0.8,2006,1.0757709748588378
2215,1825,David DeJesus,0.4596273291925466,4.2,2006,2.3940580224336028
2302,1818,Bobby Crosby,0.4472049689440994,0.4,2006,2.5771527058662738
8216,1803,Todd Linden,0.2173913043478261,-0.4,2006,0.9626686825457704
3115,1790,Garrett Atkins,0.32919254658385094,5.4,2006,1.9759029894814943
7922,1766,Laynce Nix,0.2298136645962733,1.2,2006,1.452599412852176
359,1744,Miguel Cabrera,0.5279503105590062,6.3,2006,3.6275361709877147
831,1738,Jhonny Peralta,0.4782608695652174,0.1,2006,2.630744458325717
5680,1826,Khalil Greene,0.31055900621118016,2.3,2006,2.343348627244863
5336,1737,Justin Morneau,0.30434782608695654,3.8,2006,2.1074837773863946
4996,1724,Lew Ford,0.30434782608695654,0.0,2006,1.9368443079540303
259,1717,Jason Bay,0.5652173913043479,5.2,2006,3.9313687652349607
4165,1702,Reed Johnson,0.2981366459627329,4.4,2006,1.1219465908896604
6460,1696,Jody Gerut,0.20496894409937888,2.9,2006,0.7398961251772191
558,1679,Chase Utley,0.658385093167702,7.2,2006,4.669704126003091
1206,1659,Hideki Matsui,0.36645962732919257,0.7,2006,2.3446551370266233
3827,1658,Xavier Nady,0.26086956521739135,0.2,2006,1.3290717208512268
6726,1736,Jose Reyes,0.31677018633540377,5.7,2006,2.5517740664963
3676,1830,Clint Barmes,0.31677018633540377,-0.7,2006,1.4886605181757646
4671,1832,Lance Niekro,0.2236024844720497,-0.4,2006,1.2062349477761973
7329,1844,Aaron Miles,0.16149068322981366,-0.6,2006,-0.04292579952250586
4619,1940,Cory Sullivan,0.24844720496894412,-0.5,2006,0.5440549262322986
5746,1919,Damon Hollins,0.2236024844720497,-0.6,2006,0.6435284920914675
7558,1908,Adrian Gonzalez,0.16770186335403728,2.9,2006,0.9459021629002531
3964,1904,Adam LaRoche,0.09937888198757763,2.2,2006,0.8750988095021175
988,1891,Chris Shelton,0.36645962732919257,1.1,2006,1.831218892695355
636,1888,Chad Tracy,0.453416149068323,1.8,2006,2.4529695213987806
3806,1885,Brad Hawpe,0.17391304347826086,2.7,2006,0.5591924668929524
6895,1876,Willy Taveras,0.3478260869565218,3.3,2006,1.604197657359163
3733,1874,Hector Luna,0.26086956521739135,0.1,2006,1.0779723726527533
1046,1873,Matt Holliday,0.3726708074534162,3.5,2006,2.043406335088478
5676,1866,Jose Castillo,0.2173913043478261,-0.8,2006,0.9165357786607429
2827,1861,Wilson Betemit,0.27950310559006214,0.4,2006,0.8029167830584247
3918,1860,Luis Gonzalez,0.20496894409937888,-1.1,2006,0.092945173566376
3002,1857,Joe Mauer,0.422360248447205,5.8,2006,3.0916779438227815
7587,1854,Kaz Matsui,0.2173913043478261,0.4,2006,0.7411675301700618
4625,1849,Rickie Weeks Jr.,0.18012422360248448,0.9,2006,1.5005555453513153
602,1845,Jonny Gomes,0.3788819875776398,-0.2,2006,2.5209813669876233
7809,2076,Nook Logan,0.31055900621118016,0.5,2006,1.2459150771574052
4860,995,Rob Mackowiak,0.33540372670807456,0.4,2006,1.3554667235381446
7649,1591,Jamey Carroll,0.24844720496894412,2.7,2006,0.4458580623752326
478,990,Brian Giles,0.5776397515527951,3.0,2006,4.281132078535414
2495,320,Juan Encarnacion,0.30434782608695654,0.6,2006,1.23791192843079
491,319,Adam Dunn,0.4161490683229814,1.5,2006,3.649378879443346
7577,315,Juan Castro,0.2732919254658385,0.3,2006,0.3797512534820622
2300,314,Sean Casey,0.2919254658385093,-0.7,2006,1.6450069295596885
4132,312,Ben Broussard,0.2670807453416149,0.5,2006,1.2332840703573553
6964,311,Aaron Boone,0.2236024844720497,-0.8,2006,1.0814971274286884
7132,302,Sammy Sosa,0.12422360248447206,0.3,2006,0.21986335723226214
361,327,Ken Griffey Jr.,0.391304347826087,-0.6,2006,1.6580308813800195
8700,300,Corey Patterson,0.18012422360248448,3.8,2006,0.9475646441287611
397,261,Moises Alou,0.4161490683229814,1.3,2006,2.155969799780956
8008,256,Jose Valentin,0.2173913043478261,3.0,2006,1.3014746222262827
4621,254,Aaron Rowand,0.4472049689440994,1.2,2006,3.023944347393427
2571,248,Magglio Ordonez,0.2857142857142857,1.2,2006,1.1412336904404914
1696,246,Kenny Lofton,0.453416149068323,1.0,2006,0.9242393351282214
2765,243,Carlos Lee,0.3229813664596274,1.9,2006,2.6564033495428303
621,242,Paul Konerko,0.4472049689440994,3.0,2006,2.6371447987509598
6153,264,Mark Bellhorn,0.24844720496894412,0.3,2006,0.9707884961908919
3064,332,Austin Kearns,0.33540372670807456,3.9,2006,1.8950727381870751
2370,337,Jason LaRue,0.3788819875776398,0.1,2006,1.636617957960793
2937,344,Wily Mo Pena,0.1863354037267081,1.0,2006,0.8119930365195387
2518,513,Luis Castillo,0.4472049689440994,2.2,2006,2.3603333397021418
3091,505,Dmitri Young,0.30434782608695654,-0.5,2006,1.2186198410816453
4159,470,Brandon Inge,0.4099378881987578,4.2,2006,2.173967330830986
5515,466,Robert Fick,0.2298136645962733,-1.0,2006,0.4701985475158671
5315,464,Damion Easley,0.24844720496894412,-0.1,2006,0.9189444232433541
5912,454,Juan Uribe,0.3478260869565218,1.2,2006,2.239774714964086
6436,443,Juan Pierre,0.31055900621118016,3.1,2006,2.30019786924112
7097,433,Todd Hollandsworth,0.1987577639751553,0.1,2006,0.1929228908390599
171,432,Todd Helton,0.4658385093167702,1.9,2006,3.2170515421075665
8811,420,Gary Bennett,0.18012422360248448,-0.5,2006,0.2915301385643503
5628,411,Omar Vizquel,0.35403726708074534,3.3,2006,1.4508957287462738
4757,409,Jim Thome,0.20496894409937888,4.8,2006,1.09009845277137
7162,395,John McDonald,0.2732919254658385,-0.4,2006,0.3093322948960282
1308,393,Victor Martinez,0.5031055900621119,2.8,2006,3.6550747353815174
1402,370,Russell Branyan,0.27950310559006214,1.4,2006,0.708131320939293
1610,369,Milton Bradley,0.31055900621118016,2.6,2006,1.986274130076173
1716,359,Todd Walker,0.3229813664596274,1.0,2006,1.0086847086077178
2405,235,Tony Graffanino,0.2981366459627329,2.5,2006,0.7755291614937014
2745,230,Ray Durham,0.38509316770186336,3.6,2006,2.1869179109046284
4479,227,Joe Crede,0.3229813664596274,3.9,2006,1.8132366451950201
6744,226,Royce Clayton,0.2173913043478261,-0.3,2006,-0.009344993308309624
3174,88,Rafael Furcal,0.49068322981366463,3.8,2006,3.5200906177026132
2482,87,Julio Franco,0.2422360248447205,-0.1,2006,-0.6675308569907012
5527,84,Vinny Castilla,0.2732919254658385,-0.7,2006,1.1005112015470355
7153,81,Henry Blanco,0.24844720496894412,0.7,2006,0.7999377838689619
4207,65,Damian Miller,0.31677018633540377,0.9,2006,0.9672988890905019
2349,57,Jose Guillen,0.44099378881987583,-0.2,2006,2.9276351775133156
1893,55,Luis Gonzalez,0.3726708074534162,0.9,2006,1.7631922285902377
8012,54,Steve Finley,0.13043478260869565,0.9,2006,-0.06723665098962384
4474,52,Craig Counsell,0.38509316770186336,0.9,2006,1.9629388088344568
6257,50,Alex Cintron,0.1987577639751553,-0.3,2006,0.5188580036013047
3741,45,Rod Barajas,0.32919254658385094,1.1,2006,1.8065716679071062
7790,25,Jose Molina,0.2670807453416149,0.6,2006,1.1335462217243844
3258,24,Bengie Molina,0.31677018633540377,0.9,2006,1.6254763704644148
4520,19,Adam Kennedy,0.4099378881987578,1.0,2006,1.9807230927931843
820,15,Troy Glaus,0.4099378881987578,3.4,2006,2.659141826740938
6268,993,Jason Kendall,0.3229813664596274,2.9,2006,2.363024258583531
3199,10,David Eckstein,0.36645962732919257,1.5,2006,2.325474563637483
1641,89,Marcus Giles,0.5341614906832299,1.0,2006,3.4947966193816553
4329,514,Ramon Castro,0.2857142857142857,0.8,2006,0.9868225012235439
2014,94,Wes Helms,0.25465838509316774,1.8,2006,-0.08358229644688914
206,97,Chipper Jones,0.5155279503105591,3.9,2006,3.413632091982909
1187,217,Jason Varitek,0.4285714285714286,0.6,2006,2.284927066673319
216,210,Manny Ramirez,0.391304347826087,2.9,2006,2.9804756650687967
2320,204,Trot Nixon,0.4472049689440994,1.7,2006,2.348352727013541
5064,202,Doug Mirabelli,0.2360248447204969,-0.5,2006,0.47420158321514183
2620,196,Shea Hillenbrand,0.34161490683229817,-0.1,2006,1.8012167556053564
3630,190,Nomar Garciaparra,0.2298136645962733,2.0,2006,0.7644161575632435
2207,185,Johnny Damon,0.3788819875776398,3.6,2006,2.004628717735824
190,182,Tony Clark,0.4037267080745342,0.0,2006,1.7423381151053785
596,166,Brian Roberts,0.6335403726708075,3.1,2006,4.156823412196563
1831,157,Melvin Mora,0.47204968944099385,1.2,2006,2.6458804790242034
4089,153,Gary Matthews Jr.,0.36024844720496896,3.9,2006,2.1875104129270655
5172,144,Jerry Hairston,0.3478260869565218,-0.4,2006,1.5877209357247708
2041,141,Jay Gibbons,0.35403726708074534,-0.1,2006,1.6858328492729997
2763,131,Jeff Conine,0.1987577639751553,-0.2,2006,-0.33810627233416857
724,114,Gary Sheffield,0.36024844720496896,0.3,2006,2.4902558371265586
3395,103,Javy Lopez,0.31677018633540377,-1.2,2006,1.191392914981088
3269,98,Ryan Langerhans,0.36645962732919257,1.2,2006,1.8713939205384114
706,96,Andruw Jones,0.7018633540372672,6.0,2006,5.963493469974627
1328,518,Cliff Floyd,0.44099378881987583,0.2,2006,2.716114572863245
6021,11,Darin Erstad,0.31677018633540377,0.7,2006,1.2245917413395042
44,525,Derrek Lee,0.6459627329192548,0.7,2006,4.5834114328184485
7804,892,Jason Phillips,0.14906832298136646,-1.0,2006,0.7656140655375454
4663,890,Jay Payton,0.3229813664596274,1.0,2006,1.3387622194145576
4076,867,Jeromy Burnitz,0.30434782608695654,-1.1,2006,1.297914011881527
6187,857,Bernie Williams,0.06832298136645965,-1.2,2006,-0.14322338396153628
1623,856,Rondell White,0.31677018633540377,-1.3,2006,0.9525024681574661
2412,847,Alfonso Soriano,0.36024844720496896,5.4,2006,2.5279102520386987
3647,843,Juan Rivera,0.27950310559006214,2.4,2006,1.6799527916946844
3558,893,Mike Piazza,0.2670807453416149,1.9,2006,0.8881467201151059
2914,841,Jorge Posada,0.4161490683229814,4.3,2006,2.2973387615377243
1195,826,Derek Jeter,0.4844720496894411,6.1,2006,3.1157614243226277
124,818,Jason Giambi,0.47204968944099385,3.0,2006,2.527524232593091
3793,804,Brad Wilkerson,0.36024844720496896,-0.2,2006,2.541458514250011
3850,802,Jose Vidro,0.2857142857142857,0.1,2006,1.4712456199273478
4919,795,Brian Schneider,0.36645962732919257,0.3,2006,2.189008022927104
393,778,Vladimir Guerrero,0.5403726708074534,3.5,2006,4.475512285257092
6986,766,Orlando Cabrera,0.4285714285714286,2.7,2006,2.112582055932875
635,828,Nick Johnson,0.47204968944099385,4.9,2006,3.2988200999069237
8841,903,Vance Wilson,0.20496894409937888,0.5,2006,0.9603255991136657
7082,905,Eric Byrnes,0.24844720496894412,2.9,2006,1.1173887483600775
3008,906,Eric Chavez,0.5341614906832299,3.4,2006,3.7724098111832722
6957,520,Alex Gonzalez,0.2298136645962733,1.6,2006,0.82442623919048
5571,970,Scott Rolen,0.27950310559006214,5.5,2006,1.9594331260738909
5445,968,Todd Pratt,0.2422360248447205,-0.4,2006,0.021955922729939736
8893,965,Tomas Perez,0.1863354037267081,-0.5,2006,0.12229267045882564
4842,959,Mike Lieberthal,0.2857142857142857,1.1,2006,1.428753314020939
4070,958,Travis Lee,0.2732919254658385,-0.4,2006,1.501072837120199
7445,955,Johnny Estrada,0.2111801242236025,0.7,2006,1.1005675650896345
6100,950,Marlon Byrd,0.2422360248447205,0.4,2006,0.4206826963632606
662,949,Pat Burrell,0.4099378881987578,1.5,2006,2.8329313181123084
5614,947,Marlon Anderson,0.25465838509316774,1.6,2006,0.3066474068097287
815,945,Bobby Abreu,0.4472049689440994,3.6,2006,3.7709779379583663
1305,941,Miguel Tejada,0.5031055900621119,4.9,2006,3.236795854883221
2590,937,Olmedo Saenz,0.2422360248447205,1.2,2006,0.6774067869823635
2591,934,Carlos Pena,0.2298136645962733,5.9,2006,1.0332599448781317
3580,918,Ramon Hernandez,0.35403726708074534,4.1,2006,2.1511403023165574
6382,916,Scott Hatteberg,0.15527950310559008,2.1,2006,0.15136185899410348
1600,911,Jermaine Dye,0.3478260869565218,3.0,2006,1.9371916561830902
1997,762,Michael Barrett,0.391304347826087,2.3,2006,2.165992483565738
978,759,Javier Valentin,0.34161490683229817,0.7,2006,1.4620036252485182
3719,971,Jimmy Rollins,0.453416149068323,4.3,2006,3.1873268296969774
151,745,David Ortiz,0.5403726708074534,5.3,2006,4.5956354072898975
2632,607,Raul Ibanez,0.34161490683229817,3.4,2006,1.8815763172047355
6815,591,Angel Berroa,0.2360248447204969,-1.5,2006,0.6201107912387795
4526,589,Carlos Beltran,0.35403726708074534,7.8,2006,2.668752175014615
4194,580,Gregg Zaun,0.33540372670807456,1.5,2006,1.6840940574686634
6049,579,Daryle Ward,0.18012422360248448,0.3,2006,0.9962910317138325
5346,746,A.J. Pierzynski,0.31055900621118016,2.0,2006,1.8209243689441073
3059,565,Julio Lugo,0.4968944099378882,1.7,2006,3.150092427764834
7004,620,Neifi Perez,0.25465838509316774,-0.6,2006,0.7582676546732134
356,556,Morgan Ensberg,0.5900621118012422,3.8,2006,3.8405613950915107
2868,549,Craig Biggio,0.3788819875776398,0.9,2006,1.3979619349589836
363,548,Lance Berkman,0.3788819875776398,6.1,2006,3.112204141231791
6176,546,Brad Ausmus,0.24844720496894412,-1.0,2006,0.6157448724140924
2787,545,Preston Wilson,0.25465838509316774,-0.9,2006,1.1208707022328044
3910,538,Mike Redmond,0.25465838509316774,0.8,2006,0.255210363939981
3531,529,Kevin Millar,0.2422360248447205,-0.1,2006,0.8725235124724378
7386,527,Mike Lowell,0.2173913043478261,2.5,2006,1.2897223759659744
7597,550,Geoff Blum,0.2422360248447205,0.8,2006,0.6033198574408141
2983,623,Joe Randa,0.33540372670807456,-0.5,2006,1.0638853995440163
8238,577,Jose Vizcaino,0.19254658385093168,-0.7,2006,-0.35108038743144354
5915,639,Adrian Beltre,0.36024844720496896,4.6,2006,2.8321791128254548
1392,634,Mike Sweeney,0.31677018633540377,0.3,2006,1.6880295420732658
4478,738,Corey Koskie,0.31677018633540377,1.7,2006,1.630457422343823
3894,736,Bobby Kielty,0.2732919254658385,0.2,2006,1.4454652464909523
4699,735,Jacque Jones,0.2236024844720497,1.4,2006,1.570323196102023
3017,731,Torii Hunter,0.36024844720496896,2.3,2006,2.5939999202535162
8989,728,Cristian Guzman,0.13664596273291926,1.4,2006,0.721416567915343
4682,719,Casey Blake,0.32919254658385094,1.8,2006,1.541816396005401
3832,716,Eric Young,0.2298136645962733,-0.9,2006,0.28926797984443087
5541,741,Doug Mientkiewicz,0.2173913043478261,0.9,2006,0.9241152304659888
814,690,Geoff Jenkins,0.5155279503105591,1.3,2006,3.0198186985150013
8348,688,Jose Hernandez,0.1987577639751553,0.2,2006,0.3889055519450515
3513,677,Ronnie Belliard,0.4161490683229814,0.7,2006,2.115406559642002
2866,670,Dave Roberts,0.35403726708074534,3.1,2006,1.8042304776662503
5631,662,Paul Lo Duca,0.2919254658385093,2.5,2006,1.4822281701327926
7995,656,Cesar Izturis,0.1863354037267081,-0.1,2006,1.258146779330272
4466,653,Mark Grudzielanek,0.38509316770186336,2.7,2006,1.379595702286943
1836,651,Shawn Green,0.2857142857142857,-0.7,2006,1.3644871701339163
576,709,Richie Sexson,0.4596273291925466,2.4,2006,3.230870961698045
1732,1736,Jose Reyes,0.5652173913043479,5.6,2007,4.797368116299133
479,1717,Jason Bay,0.5341614906832299,-1.0,2007,4.095442511302281
872,1702,Reed Johnson,0.4844720496894411,-0.7,2007,2.172431389230896
2624,1698,Gerald Laird,0.31055900621118016,1.1,2007,1.0034389369796566
568,1679,Chase Utley,0.658385093167702,7.7,2007,4.569625791426075
3526,1677,Shane Victorino,0.3788819875776398,2.8,2007,1.8008016003163312
757,1659,Hideki Matsui,0.25465838509316774,2.9,2007,0.9298079695091266
965,1617,Lyle Overbay,0.3229813664596274,-0.1,2007,1.7450190147802913
1267,1656,Rocco Baldelli,0.422360248447205,-0.2,2007,2.6849517766294833
6104,1638,Miguel Olivo,0.30434782608695654,0.7,2007,1.077007527318513
1390,1624,Freddy Sanchez,0.4968944099378882,2.9,2007,2.496436761813028
4666,1609,Omar Infante,0.26086956521739135,-0.2,2007,1.0393316363221334
968,1605,Bill Hall,0.5279503105590062,1.6,2007,3.709602158400757
2476,1591,Jamey Carroll,0.3788819875776398,0.2,2007,1.0201626989170403
5284,1580,Chone Figgins,0.24844720496894412,4.0,2007,1.9176892102171994
3229,1658,Xavier Nady,0.2236024844720497,0.5,2007,0.8450486413773897
526,1737,Justin Morneau,0.4472049689440994,2.2,2007,3.032058877524109
6472,1876,Willy Taveras,0.4161490683229814,0.9,2007,2.2256196688969325
175,1744,Miguel Cabrera,0.6024844720496895,5.0,2007,4.94274701521902
5355,1235,Randy Winn,0.31055900621118016,2.4,2007,1.7444228455365058
224,1873,Matt Holliday,0.4285714285714286,6.9,2007,2.829434688006696
7250,1866,Jose Castillo,0.16149068322981366,-0.9,2007,1.0000677101090498
3381,1861,Wilson Betemit,0.2360248447204969,0.7,2007,1.1008831281228588
420,1857,Joe Mauer,0.5714285714285714,3.3,2007,4.567696724212858
6666,1854,Kaz Matsui,0.2360248447204969,2.7,2007,0.3875675858699391
2989,1849,Rickie Weeks Jr.,0.2670807453416149,3.1,2007,1.349591707403059
4233,1845,Jonny Gomes,0.1987577639751553,0.6,2007,1.9535234200328149
7231,1844,Aaron Miles,0.17391304347826086,-0.1,2007,0.4251610950393677
8814,1830,Clint Barmes,0.16770186335403728,1.7,2007,0.6612379854708856
4378,1826,Khalil Greene,0.35403726708074534,2.8,2007,2.569434548476349
2195,1825,David DeJesus,0.47204968944099385,2.2,2007,3.103803981608361
7776,1818,Bobby Crosby,0.2360248447204969,0.0,2007,1.823814088489356
232,1790,Garrett Atkins,0.5465838509316772,2.1,2007,3.729042815176947
